Price,GBPUSD,DXY,Gold_Price,SP500
Ticker,GBPUSD=X,DX-Y.NYB,GC=F,^GSPC
Date,,,,
2021-01-01,1.3673007488250732,89.87999725341797,1944.699951171875,3700.64990234375
2021-01-04,1.3684196472167969,89.87999725341797,1944.699951171875,3700.64990234375
2021-01-05,1.3571596145629883,89.44000244140625,1952.699951171875,3726.860107421875
2021-01-06,1.3629549741744995,89.52999877929688,1906.9000244140625,3748.139892578125
2021-01-07,1.3625277280807495,89.83000183105469,1912.300048828125,3803.7900390625
2021-01-08,1.3569625616073608,90.0999984741211,1834.0999755859375,3824.679931640625
2021-01-11,1.3516253232955933,90.54000091552734,1849.5999755859375,3799.610107421875
2021-01-12,1.3524113893508911,90.05000305175781,1842.9000244140625,3801.18994140625
2021-01-13,1.3670539855957031,90.31999969482422,1853.5999755859375,3809.840087890625
2021-01-14,1.364926815032959,90.23999786376953,1850.300048828125,3795.5400390625
2021-01-15,1.3683634996414185,90.77999877929688,1829.300048828125,3768.25
2021-01-18,1.357533574104309,90.77999877929688,1829.300048828125,3768.25
2021-01-19,1.3581236600875854,90.5,1839.5,3798.909912109375
2021-01-20,1.3644241094589233,90.47000122070312,1865.9000244140625,3851.85009765625
2021-01-21,1.3668484687805176,90.12999725341797,1865.300048828125,3853.070068359375
2021-01-22,1.3729474544525146,90.23999786376953,1855.699951171875,3841.469970703125
2021-01-25,1.3688204288482666,90.38999938964844,1854.9000244140625,3855.360107421875
2021-01-26,1.3678992986679077,90.16999816894531,1850.699951171875,3849.6201171875
2021-01-27,1.374154806137085,90.6500015258789,1844.9000244140625,3750.77001953125
2021-01-28,1.3669419288635254,90.45999908447266,1837.9000244140625,3787.3798828125
2021-01-29,1.3725008964538574,90.58000183105469,1847.300048828125,3714.239990234375
2021-02-01,1.3697690963745117,91.0199966430664,1860.800048828125,3773.860107421875
2021-02-02,1.3678767681121826,91.19999694824219,1830.5,3826.31005859375
2021-02-03,1.3659336566925049,91.12000274658203,1832.199951171875,3830.169921875
2021-02-04,1.364908218383789,91.52999877929688,1788.9000244140625,3871.739990234375
2021-02-05,1.3676148653030396,91.04000091552734,1810.9000244140625,3886.830078125
2021-02-08,1.3738716840744019,90.93000030517578,1831.9000244140625,3915.590087890625
2021-02-09,1.374570369720459,90.44000244140625,1835.300048828125,3911.22998046875
2021-02-10,1.3817994594573975,90.37000274658203,1840.5999755859375,3909.8798828125
2021-02-11,1.3832597732543945,90.41999816894531,1824.9000244140625,3916.3798828125
2021-02-12,1.381024718284607,90.4800033569336,1821.5999755859375,3934.830078125
2021-02-15,1.3871549367904663,90.4800033569336,1821.5999755859375,3934.830078125
2021-02-16,1.3914785385131836,90.51000213623047,1797.199951171875,3932.590087890625
2021-02-17,1.388811707496643,90.94999694824219,1771.0999755859375,3931.330078125
2021-02-18,1.3866355419158936,90.58999633789062,1773.4000244140625,3913.969970703125
2021-02-19,1.3967455625534058,90.36000061035156,1775.800048828125,3906.7099609375
2021-02-22,1.403114914894104,90.01000213623047,1806.699951171875,3876.5
2021-02-23,1.4071228504180908,90.16999816894531,1804.4000244140625,3881.3701171875
2021-02-24,1.412030577659607,90.18000030517578,1796.4000244140625,3925.429931640625
2021-02-25,1.4148274660110474,90.12999725341797,1774.4000244140625,3829.340087890625
2021-02-26,1.4008152484893799,90.93000030517578,1728.0999755859375,3811.14990234375
2021-03-01,1.3972529172897339,91.04000091552734,1722.5,3901.820068359375
2021-03-02,1.3929517269134521,90.79000091552734,1733.0999755859375,3870.2900390625
2021-03-03,1.3954981565475464,90.94999694824219,1715.300048828125,3819.719970703125
2021-03-04,1.3926994800567627,91.62999725341797,1700.199951171875,3768.469970703125
2021-03-05,1.3894098997116089,91.9800033569336,1698.0,3841.93994140625
2021-03-08,1.385367751121521,92.30999755859375,1677.699951171875,3821.35009765625
2021-03-09,1.3823610544204712,91.95999908447266,1716.5999755859375,3875.43994140625
2021-03-10,1.3890432119369507,91.79000091552734,1721.5,3898.81005859375
2021-03-11,1.3931456804275513,91.41999816894531,1722.300048828125,3939.340087890625
2021-03-12,1.3989927768707275,91.68000030517578,1719.5,3943.340087890625
2021-03-15,1.3929517269134521,91.83000183105469,1728.9000244140625,3968.93994140625
2021-03-16,1.3899120092391968,91.87000274658203,1730.5999755859375,3962.7099609375
2021-03-17,1.3902212381362915,91.4000015258789,1726.800048828125,3974.1201171875
2021-03-18,1.3975849151611328,91.8499984741211,1732.199951171875,3915.4599609375
2021-03-19,1.3925055265426636,91.91999816894531,1741.4000244140625,3913.10009765625
2021-03-22,1.3832597732543945,91.80000305175781,1737.800048828125,3940.590087890625
2021-03-23,1.3862512111663818,92.33999633789062,1724.699951171875,3910.52001953125
2021-03-24,1.3730417490005493,92.52999877929688,1732.9000244140625,3889.139892578125
2021-03-25,1.3688879013061523,92.87999725341797,1724.9000244140625,3909.52001953125
2021-03-26,1.374910593032837,92.7699966430664,1732.199951171875,3974.5400390625
2021-03-29,1.3791011571884155,92.94000244140625,1712.0999755859375,3971.090087890625
2021-03-30,1.3775053024291992,93.30000305175781,1683.9000244140625,3958.550048828125
2021-03-31,1.3746649026870728,93.2300033569336,1713.800048828125,3972.889892578125
2021-04-01,1.3786258697509766,92.93000030517578,1726.5,4019.8701171875
2021-04-02,1.383508563041687,92.93000030517578,1726.5,4019.8701171875
2021-04-05,1.383125901222229,92.5999984741211,1727.0,4077.909912109375
2021-04-06,1.3914011716842651,92.33999633789062,1741.5,4073.93994140625
2021-04-07,1.383125901222229,92.45999908447266,1740.0999755859375,4079.949951171875
